    TIME              DATE               BHP         BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR     FOPR     FOPT     FWPR     FWPT     FWIR      FWIT   
    days            1/1/1998            BR-P-1     BR-P-2   BR-P-3   BR-P-4   BR-P-5   BR-P-6   BR-P-7   BR-P-8   BR-P-9   BR-P-10  BR-P-11  BR-P-12  BR-P-13  BR-P-14  BR-P-15  BR-P-16  BR-P-17  BR-P-18  BR-P-19  BR-P-20  BR-I-1   BR-I-2   BR-I-3   BR-I-4   BR-I-5   BR-I-6   BR-I-7   BR-I-8   BR-I-9   BR-I-10  BR-P-1   BR-P-2   BR-P-3   BR-P-4   BR-P-5   BR-P-6   BR-P-7   BR-P-8   BR-P-9   BR-P-10  BR-P-11  BR-P-12  BR-P-13  BR-P-14  BR-P-15  BR-P-16  BR-P-17  BR-P-18  BR-P-19  BR-P-20  BR-P-1   BR-P-2   BR-P-3   BR-P-4   BR-P-5   BR-P-6   BR-P-7   BR-P-8   BR-P-9   BR-P-10  BR-P-11  BR-P-12  BR-P-13  BR-P-14  BR-P-15  BR-P-16  BR-P-17  BR-P-18  BR-P-19  BR-P-20                                              
           1        1/2/1998                  -999     -999     -999     -999   152.32     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   307.11     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.0        0      0.0        0      0.0         0
          30       1/31/1998                  -999     -999     -999     -999   148.36     -999     -999     -999     -999   162.13     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   312.70     0.00     0.00     0.00     0.00   316.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    316.8     8501      0.0        0      0.0         0
          60        3/2/1998                  -999     -999     -999     -999   148.00     -999     -999     -999     -999   130.62   157.48     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   316.38     0.00     0.00     0.00     0.00   316.26   306.60     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    629.0    27370      0.0        0      0.0         0
          90        4/1/1998                  -999     -999     -999     -999   148.27     -999     -999     -999     -999   130.43   155.04   159.12     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   310.34     0.00     0.00     0.00     0.00   317.55   306.60   322.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    939.2    55547      0.0        0      0.0         0
         120        5/1/1998                  -999     -999     -999     -999   146.94     -999     -999     -999     -999   130.16   153.49   152.97   159.52     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   311.23     0.00     0.00     0.00     0.00   317.71   319.75   322.01   308.54     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   1256.5    93242      0.0        0      0.0         0
         150       5/31/1998                  -999     -999     -999     -999   147.72     -999     -999     -999     -999   128.61   152.65   152.15   153.25   160.44     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   311.21     0.00     0.00     0.00     0.00   320.83   322.85   305.69   308.54   304.22     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   1579.2   140619      0.0        0      0.0         0
         180       6/30/1998                  -999     -999     -999     -999   146.93     -999     -999     -999     -999   128.12   152.88   151.07   152.99   141.12   160.38     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   319.00     0.00     0.00     0.00     0.00   320.50   319.74   320.97   322.13   304.22   308.20     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.66     0.00     0.00     0.00     0.00     0.00     0.00   1873.3   196819      0.0        0      0.0         0
         210       7/30/1998                  -999     -999     -999     -999   145.54     -999     -999     -999     -999   127.52   151.26   151.03   152.20   138.86   130.10   155.66     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   317.62     0.00     0.00     0.00     0.00   310.16   323.08   309.87   313.45   320.10   308.20   341.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     5.39    15.55     0.00     0.00     0.00     0.00     0.00   2214.8   263262      0.7       20      0.0         0
         240       8/29/1998                  -999     -999     -999     -999   144.76     -999     -999     -999     -999   125.89   150.91   149.75   151.12   137.52   128.31   149.47   155.93     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   319.84     0.00     0.00     0.00     0.00   317.24   316.08   314.16   321.62   312.20   305.50   341.47   323.82     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     3.83     9.25     0.00     0.00     0.00     0.00     0.00   2544.0   339581     20.9      648      0.0         0
